minute,timestamp,participant_id,player,team,level,kills,deaths,assists,cs,gold,wards_placed,wards_destroyed,item_ids
5,2026-08-01T11:15:23.499Z,2,Canyon,Gen.G,5,0,0,0,40,1881,2,0,"[1102,3340,1011]"
5,2026-08-01T11:15:23.499Z,3,Chovy,Gen.G,5,0,0,0,35,1632,2,0,"[1056,3340,1082,2031,1052]"
5,2026-08-01T11:15:23.499Z,4,Ruler,Gen.G,4,0,0,0,41,1811,2,0,"[1055,3340,6690]"
5,2026-08-01T11:15:23.499Z,5,Duro,Gen.G,4,0,0,0,7,1252,1,0,"[3865,3364,1028]"
5,2026-08-01T11:15:23.499Z,6,Siwoo,Dplus KIA,5,0,0,1,42,1919,1,0,"[3340,1055,1001,1029,1036]"
5,2026-08-01T11:15:23.499Z,7,Lucid,Dplus KIA,5,1,0,0,40,2291,2,0,"[1102,3340,2055,2021]"
5,2026-08-01T11:15:23.499Z,8,ShowMaker,Dplus KIA,5,0,0,0,46,1827,1,0,"[1056,3340,1082,2031,1001,1027]"
5,2026-08-01T11:15:23.499Z,9,Smash,Dplus KIA,4,0,0,0,38,1666,2,0,"[1055,2003,3340,3070,1036]"
5,2026-08-01T11:15:23.499Z,10,Career,Dplus KIA,3,0,0,0,3,1253,1,0,"[3865,3364,1001,2031]"
6,2026-08-01T11:16:23.794Z,1,Kiin,Gen.G,6,0,2,0,35,1777,2,0,"[1055,3340,1001,2031,2055,1036,1042]"
6,2026-08-01T11:16:23.794Z,2,Canyon,Gen.G,5,0,1,1,44,2149,2,0,"[1102,3340,1011]"
6,2026-08-01T11:16:23.794Z,3,Chovy,Gen.G,6,2,0,0,48,2609,3,0,"[1056,3340,1082,2031,1052]"
6,2026-08-01T11:16:23.794Z,4,Ruler,Gen.G,5,0,0,1,54,2244,2,0,"[1055,3340,6690]"
6,2026-08-01T11:16:23.794Z,5,Duro,Gen.G,5,0,0,1,8,1458,1,0,"[3865,3364,1028]"
6,2026-08-01T11:16:23.794Z,6,Siwoo,Dplus KIA,6,0,0,2,46,2376,1,0,"[3340,1055,1036,3047,2031,2055]"
6,2026-08-01T11:16:23.794Z,7,Lucid,Dplus KIA,5,2,0,0,40,2624,5,0,"[1102,3340,2021,1028,1036]"
