timestamp,elapsed_sec,game_state,participant_id,player,team,level,kills,deaths,assists,cs,gold,current_health,max_health
2026-08-01T11:10:24.256Z,0.461,in_game,9,Smash,Dplus KIA,1,0,0,0,0,500,675,675
2026-08-01T11:10:24.256Z,0.461,in_game,10,Career,Dplus KIA,1,0,0,0,0,500,745,745
2026-08-01T11:10:24.422Z,0.627,in_game,1,Kiin,Gen.G,1,0,0,0,0,500,540,540
2026-08-01T11:10:24.422Z,0.627,in_game,2,Canyon,Gen.G,1,0,0,0,0,500,650,650
2026-08-01T11:10:24.422Z,0.627,in_game,3,Chovy,Gen.G,1,0,0,0,0,500,720,720
2026-08-01T11:10:24.422Z,0.627,in_game,4,Ruler,Gen.G,1,0,0,0,0,500,720,720
2026-08-01T11:10:24.422Z,0.627,in_game,5,Duro,Gen.G,1,0,0,0,0,500,705,705
2026-08-01T11:10:24.422Z,0.627,in_game,6,Siwoo,Dplus KIA,1,0,0,0,0,500,710,710
2026-08-01T11:10:24.422Z,0.627,in_game,7,Lucid,Dplus KIA,1,0,0,0,0,500,710,710
2026-08-01T11:10:24.422Z,0.627,in_game,8,ShowMaker,Dplus KIA,1,0,0,0,0,500,695,695
2026-08-01T11:10:24.422Z,0.627,in_game,9,Smash,Dplus KIA,1,0,0,0,0,500,675,675
2026-08-01T11:10:24.422Z,0.627,in_game,10,Career,Dplus KIA,1,0,0,0,0,500,745,745
2026-08-01T11:10:24.589Z,0.794,in_game,1,Kiin,Gen.G,1,0,0,0,0,500,540,540
2026-08-01T11:10:24.589Z,0.794,in_game,2,Canyon,Gen.G,1,0,0,0,0,500,650,650
2026-08-01T11:10:24.589Z,0.794,in_game,3,Chovy,Gen.G,1,0,0,0,0,500,720,720
2026-08-01T11:10:24.589Z,0.794,in_game,4,Ruler,Gen.G,1,0,0,0,0,500,720,720
